Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
The Princess Bride (2024);"Farm Boy Skillshot: Die vorgegebene Kombination aus Rampen und Orbits in der angezeigten Reihenfolge treffen. Jede abgeschlossene Kombination bringt einen ""As You Wish"" Award.";1. Über die seitlichen TRUE LOVE-Targets (links und rechts) TRUE LOVE buchstabieren. 2. Dadurch True Love Multiball vorbereiten. 3. Parallel einen Castle- oder Florin-Modus starten. 4. Ball in Max's Hut (links der Spielfeldmitte) locken. 5. Multiball starten und möglichst mit dem laufenden Modus kombinieren.;🥇 Castle oder Florin Mode.;Je nach gewähltem Modus über den entsprechenden Mode-Start-Schuss.;TRUE LOVE über die seitlichen Targets vervollständigen. Prepare to Die MB: 6 Glove-Shots sammeln.;Max's Hut (links der Spielfeldmitte) für True Love Multiball. Prepare to Die besitzt keinen klassischen Ball-Lock.;True Love MB: über Max's Hut. Prepare to Die MB: automatisch bzw. über den Startablauf nach dem 6. Glove-Shot.;Nein – kein Action Button erforderlich.;Falls TRUE LOVE noch weit entfernt ist, zunächst Castle- oder Florin-Modi spielen.;Cliffs / GUILDER (oben) – der Magnet-/Cliff-Mechanismus kann Fehlschüsse unkontrolliert umlenken und schwierige Rückläufe erzeugen.;Im Matchplay möglichst früh True Love Multiball starten und mit einem Castle- oder Florin-Modus stacken. Guilder-Modi und As You Wish bringen zwar hohe Punkte, sind aber eher Ziele für längere Partien.
Beetlejuice (2026);Skillshot: Den Abschuss so timen, dass der Ball kontrolliert zum rechten Flipper kommt. Super Skillshot: Linke Rampe → rechte Rampe → Spinner direkt hintereinander treffen.;1. Drei violette Hauptschüsse treffen. 2. Den Story-Modus über den Right Orbit (rechter Orbit) starten. 3. Den Upper Loop um die Couch spielen, um Locks zu qualifizieren. 4. Über die Right Ramp insgesamt 3 Bälle im Couch Lock sperren. 5. Afterlife Couch Multiball starten und mit dem Story-Modus kombinieren.;🥇 Einen Story Mode starten.;Right Orbit (rechter Orbit).;Mehrfach den Upper Loop um die Couch spielen, bis 3 Locks qualifiziert sind.;Couch Lock (oberes Spielfeld) über die Right Ramp (rechte Rampe).;Automatisch nach dem 3. Lock (Afterlife Couch / Now Serving Multiball).;Ja – Magna-Save verwenden, um gefährliche Rückläufer abzufangen.;Strange & Unusual Multiball als schneller Alternativ-Multiball.;Right Orbit (rechter Orbit) – Fehlschüsse auf das Drop-Target kommen häufig flach und schnell zum rechten Flipper zurück.;Im Matchplay zuerst einen Story Mode starten und anschließend den Afterlife Couch Multiball stacken. Die Magna-Save ist auf diesem Spiel extrem wertvoll und sollte aktiv genutzt werden.
Alice's Adventures in Wonderland (2024);Skillshot: Soft Plunge, ohne Pop Bumper oder Rollovers zu treffen, für den gewählten Award. Super Skillshot: Innerhalb von 5 Sekunden den Rabbit Hole VUK (oben) treffen und das Mini-Spielfeld aktivieren.;1. Früh einen Wonderland Story Mode starten. 2. White Rabbit- und Character-Shots sammeln. 3. Den ersten Multiball vorbereiten. 4. Die beleuchteten Lock-Shots insgesamt 3-mal treffen. 5. Ball im Lock auf dem oberen Spielfeld sperren. 6. Über den beleuchteten Multiball-Startschuss den Multiball starten.;🥇 Ersten Wonderland Story Mode.;Über den jeweiligen Story-Start-Schuss.;Mehrfach die beleuchteten Lock-Shots treffen (typisch 3 Locks).;Physischer Lock auf dem oberen Spielfeld.;Über den beleuchteten Multiball-Startshot nach dem letzten Lock.;Nein – kein Action Button erforderlich.;Falls der Multiball noch weit entfernt ist, lieber Story-Modi abschließen.;Linker U-Turn – Fehlschüsse können ohne Nudge direkt Richtung Center Drain zurücklaufen.;Im Matchplay zuerst einen Story Mode und danach den ersten Multiball erreichen. Ein früher gestackter Story Mode + Multiball ist meist deutlich effizienter als lange Sammelpfade.
Ninja Eclipse (2024);Stealth Skillshot: Ball in die beleuchtete Shadow Lane (oben) plungen. Death Blow Skillshot: Danach den Critical-Hit-Newton-Ball (Mitte) treffen.;1. Das Castle (Mitte) treffen und einen Oni Battle starten. 2. Parallel die Center Standup Targets (Mitte) vervollständigen. 3. Dadurch den Lock qualifizieren. 4. Über die Right Ramp (rechte Rampe) insgesamt 3 Bälle locken. 5. Ninja Storm Multiball starten und mit dem Oni Battle kombinieren.;🥇 Einen Oni Battle.;Über den Castle Shot (Mitte).;Center Standup Targets (Mitte) vervollständigen. Insgesamt 3 Locks.;Right Ramp (rechte Rampe) – physischer Ball-Lock.;Nach dem 3. Lock über die Right Ramp.;Nein – kein Action Button erforderlich.;Kami-Fähigkeiten nur mitnehmen, wenn sie sich ohne Umweg ergeben.;Right Ramp – Fehlschüsse können direkt Richtung rechte Outlane oder hart auf den rechten Flipper zurücklaufen.;Im Matchplay möglichst früh einen Oni Battle starten und mit Ninja Storm Multiball stacken. Diese Kombination liefert die zuverlässigsten Turnierpunkte.
Pokémon (2026);Skillshot: Beleuchtete Top-Lane (oben) treffen. Super Skillshot: Direkt den Town Scoop (links Mitte) oder den Pokédex Captive Ball (Mitte) treffen.;1. Einen Story Mode starten. 2. Pokémon fangen und die Training Targets vor den Modi abschließen. 3. Mehrfach den Meowth Balloon (oben) treffen, bis Team Rocket Multiball qualifiziert ist. 4. Über die Center Lane (Mitte) den Multiball starten. 5. Story Mode und Multiball kombinieren.;🥇 Einen Story Mode.;Über den jeweiligen Story-Start-Schuss.;Meowth Balloon mehrfach treffen. Nach Vorbereitung 3 Treffer auf den abgesenkten Ballon.;Kein klassischer Ball-Lock. Qualifikation über Meowth Balloon und Center Lane.;Center Lane (Mitte), sobald Team Rocket Multiball qualifiziert wurde.;Nein – kein Action Button erforderlich.;Training Targets vor dem Story Mode abschließen, um dessen Wert zu erhöhen.;Town Scoop (links Mitte) – Fehlschüsse kommen häufig hart auf den rechten Flipper zurück. Auch der Pokédex Captive Ball erzeugt unangenehme Rückläufe.;Im Matchplay zuerst einen Story Mode starten und parallel Team Rocket Multiball aufbauen. Story Mode + Team Rocket MB ist aktuell die konstanteste Turnierstrategie. 2× Playfield über die Berry Targets nur mitnehmen, wenn es sich ohne Umweg ergibt.
Yukon Yeti (2026);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Direkt nach dem Abschuss den angesagten Hauptschuss (Rampe oder Orbit, je nach Anzeige) treffen, bevor weitere Schalter ausgelöst werden.;1. Am Trading Post (Scoop links) Vorräte (Supplies) sammeln. 2. Einen der 12 Story-Modi starten. 3. Parallel über die Avalanche Ramp (linke Rampe zum oberen Spielfeld) die Locks für den Avalanche Multiball vorbereiten. 4. Insgesamt 3 Bälle im Avalanche-Lock sperren. 5. Avalanche Multiball starten und mit dem Story-Modus kombinieren.;🥇 Einen Story Mode starten.;Trading Post (Scoop links).;Insgesamt 3 Locks für den ersten Avalanche Multiball sammeln. Später existiert zusätzlich ein großer 5-Ball Avalanche Lock.;Avalanche Ramp mit physischem Ball-Lock im Treppenmechanismus auf dem oberen Spielfeld. Zusätzlich gibt es später einen versteckten Yeti-Lock.;Nach dem letzten Lock erneut die Avalanche Ramp treffen.;Nein – kein Action Button erforderlich.;Falls der Multiball noch weit entfernt ist, lieber Supplies sammeln und Story-Modi abschließen.;Wavy Rapids Ramp (rechte Rampe) – Fehlschüsse oder Rückläufe vom oberen Spielfeld kommen häufig schnell auf den rechten Flipper oder Richtung Mitte zurück.;Im Matchplay zuerst Supplies sammeln, anschließend einen Story Mode starten und danach Avalanche Multiball stacken. Gold Nuggets und Wizard-Mode-Aufbau sind eher Ziele für längere Partien.
Transformers: More Than Meets the Eye (2026);Skillshot: Beleuchtete Top-Lane (oben) treffen. Super Skillshot: Direkt den Energon Spinner (Mitte) oder den angesagten Hauptschuss treffen.;1. Eine Episode Mission starten. 2. Über den Energon Spinner (Mitte) Energon Cubes sammeln. 3. Parallel die 3 Locks für den Transformers Multiball vorbereiten. 4. Optional über den linken Orbit eine Dinobot Mission aufbauen. 5. Multiball starten und möglichst mit Episode Mission und Dinobot Mission kombinieren.;🥇 Episode Mission.;Über den Mission-Startshot des Spiels.;Insgesamt 3 Locks für den ersten Transformers Multiball sammeln. Dinobot-Missionen werden zusätzlich über den linken Orbit vorbereitet.;Premium/LE: Soundwave Cassette Deck (oben links) als physischer Lock. Pro: virtueller Lock über den beleuchteten Lock-Shot.;Nach dem letzten Lock über den beleuchteten Multiball-Startshot.;Nein – kein Action Button erforderlich.;Dinobot Mission vorbereiten, wenn sie sich ohne Umweg ergibt.;Right Ramp / Fusion Cannon – Rückwürfe von Megatrons Kanone können sehr schnell und unberechenbar auf den rechten Flipper zurückkommen.;Im Matchplay früh eine Episode Mission starten und gleichzeitig Energon Cubes sammeln. Episode + Transformers Multiball + Dinobot Mission ist die stärkste Kombination. Für Turniere ist meist der sichere Energon-Weg besser als die riskantere Cosmic Rust-Variante.
Sonic the Hedgehog (2026);Ball 1: Über die linke oder mittlere Rampe ins obere Spielfeld schießen und Dr. Eggman treffen. Spätere Bälle: Den gewünschten Award wählen und über einen weißen Shot oder den pinken Super Skillshot einsammeln.;1. Eine Zone auswählen. 2. Die Checkpoints der Zone abschließen. 3. Den Goal Ring erreichen. 4. Den Boss (Dr. Eggman) besiegen. 5. Parallel Chaos Emerald Multiball oder Sonic Heroes Multiball vorbereiten und möglichst mit einer Zone kombinieren.;🥇 Eine Zone spielen.;Über den jeweiligen Zone-Startshot.;Chaos Emerald MB: Inline-Drop-Targets (Mitte) vervollständigen und anschließend 3 Locks sammeln. Sonic Heroes MB: Je 3 Teammitglieder pro Team sammeln.;Chaos Emerald MB: physischer Lock über den beleuchteten Lock-Shot. Sonic Heroes MB: kein Ball-Lock – Fortschritt über HERO-Lanes und anschließend BASH Target.;Chaos Emerald MB: nach dem letzten Lock. Sonic Heroes MB: über das BASH Target, sobald ein Team vollständig ist.;Nein – kein Action Button erforderlich.;Sonic Heroes Multiball, wenn sich Teammitglieder schnell sammeln lassen.;Laboratory / Lab Jump Ramp – Rückläufe vom oberen Spielfeld können sehr schnell und flach zurückkommen.;Im Matchplay zuerst eine Zone beenden und den ersten Boss besiegen. Danach Chaos Emerald Multiball mit einer Zone oder einem Bosskampf stacken. Ringe und Chao nur nebenbei sammeln.
Winchester Mystery House (2025);Skillshot: Die beleuchtete 3er-Drop-Target-Bank (Mitte) treffen. Die Awards wechseln zwischen Call Spirits, Light Mystery und Advance 13.;1. Einen Spirit Mode starten. 2. Relics sammeln. 3. Parallel Séance Multiball oder Attic Multiball vorbereiten. 4. Insgesamt 3 Locks sammeln. 5. Über den beleuchteten Multiball-Startschuss den Multiball starten und mit dem Spirit Mode kombinieren.;🥇 Einen Spirit Mode.;Über den jeweiligen Spirit-Startshot.;Je nach Multiball insgesamt 3 Lock-Shots sammeln.;Physischer Ball-Lock über den jeweils beleuchteten Lock-Shot (abhängig vom aktiven Multiball).;Über den beleuchteten Multiball-Startshot nach dem letzten Lock.;Nein – kein Action Button erforderlich.;Falls kein Multiball in Reichweite ist, lieber Spirit Modes und Relics weiterspielen.;Mittlere 3er-Drop-Targets – harte Abpraller können direkt zur Spielfeldmitte oder auf die Slingshots zurückspringen.;Im Matchplay früh einen Spirit Mode starten und gleichzeitig den ersten Séance Multiball aufbauen. Mystery Awards nur mitnehmen, wenn sie auf dem Weg liegen – ein gestackter Spirit Mode + Multiball liefert die konstantesten Turnierpunkte.
Pin•Bot;Skillshot: Blinkende obere Lane (Bonus-X) beim Abschuss treffen.;1. Linke Rampe (links) treffen. 2. Rechte Rampe (rechts) treffen. 3. Die beiden Augen-Targets im PinBot-Kopf (oben Mitte) mehrfach treffen, bis sich das Visier öffnet. 4. Ball in den PinBot-Kopf (oben Mitte) schießen. 5. Dies zweimal wiederholen, um 2 Milliarden zu erreichen und den 2-Ball-Multiball zu starten.;–;–;Kein klassischer Lock. Durch das Öffnen der Augen und Treffer in den Kopf wird der Multiball aufgebaut.;–;Über den PinBot-Kopf (oben Mitte), nachdem beide Augenzyklen abgeschlossen wurden.;Nein;Statt auf den Multiball können Bonus-X und Rampenpunkte aufgebaut werden.;PinBot-Kopf (oben Mitte) – Fehlschüsse auf die Augen oder den Kopf prallen oft direkt zur Spielfeldmitte (SDTM) zurück.;Im Matchplay möglichst schnell die Augen öffnen und den Kopf treffen. Die Rampen sind die sichersten Schüsse und bringen zuverlässig Fortschritt.
No Good Gofers;Skillshot: Beleuchtete obere Lane treffen. Super Skillshot: Direkt die Center Ramp (Mitte) treffen.;1. Den Golf Cart Mode oder ein Hole starten. 2. Den Captive Ball (Mitte) treffen, um den Lock zu qualifizieren. 3. Insgesamt 3 Locks sammeln. 4. Hole-in-One Multiball starten. 5. Jackpots über die Rampen und den Captive Ball spielen.;🥇 Golf Cart Mode;Center Scoop (Mitte);Den Captive Ball (Mitte) mehrfach treffen, bis LOCK leuchtet. Insgesamt 3 Locks.;Center Ramp / Lock-Scoop (Mitte);Nach dem 3. Lock über den Center Scoop.;Nein;Bei schwierigem Captive Ball zunächst Holes spielen.;Captive Ball (Mitte) – Fehlschüsse springen häufig hart auf den rechten Flipper zurück.;Im Matchplay zuerst Hole-in-One Multiball aufbauen. Die Holes bringen zwar Punkte, der frühe Multiball liefert aber deutlich konstantere Ergebnisse.
Junk Yard;Skillshot: Beleuchtete obere Lane treffen.;1. Schrottteile (Junk) sammeln. 2. Über den Crusher (oben links) Fahrzeugteile einsammeln. 3. Dog Multiball vorbereiten. 4. Insgesamt 2 Locks sammeln. 5. Dog Multiball starten und Jackpots spielen.;🥇 Erste Junk-Teile sammeln;Crusher Scoop (oben links);Fahrzeugteile sammeln und den Dog Lock qualifizieren. Insgesamt 2 Locks.;Dog House (links oben);Über das Dog House, sobald beide Locks gesetzt sind.;Nein;Falls Dog MB noch weit entfernt ist, weitere Junk-Teile sammeln.;Crusher (oben links) – Kickouts kommen oft schnell auf den rechten Flipper zurück.;Im Matchplay möglichst früh Dog Multiball spielen. Große Fahrzeugprojekte kosten meist zu viel Zeit für eine kurze Turnierpartie.
Corvette;Skillshot: Blinkende obere Lane treffen.;1. Rennen (Race) starten. 2. Über die linke Rampe (links) Geschwindigkeit aufbauen. 3. LOCK qualifizieren. 4. Insgesamt 3 Locks sammeln. 5. Race Multiball starten und Rampen für Jackpots spielen.;🥇 Erstes Race;Start Race Scoop (oben rechts);Durch Rennen und Rampentreffer LOCK qualifizieren. Insgesamt 3 Locks.;Engine Lock (oben rechts);Nach dem 3. Lock am Engine Lock.;Nein;Rennen weiterspielen, wenn Lock noch nicht leuchtet.;Engine Lock (oben rechts) – Fehlschüsse kommen häufig schnell auf den rechten Flipper zurück.;Im Matchplay möglichst früh Race Multiball erreichen. Lange Rennen bringen oft weniger Punkte als ein schneller Multiball mit Jackpots.
Popeye Saves the Earth;Skillshot: Beleuchtete obere Lane treffen.;1. Einen Mission Mode starten. 2. Olive Oyl und Swee'Pea retten. 3. Spinach sammeln. 4. Sea Multiball vorbereiten. 5. Multiball starten und Mission weiterspielen.;🥇 Einfachen Mission Mode;Center Scoop (Mitte);Missionsfortschritt und Spinach sammeln, um den Multiball freizuschalten.;Kein klassischer Ball-Lock (virtuell).;Über den Center Scoop, sobald der Multiball bereit ist.;Nein;Falls der Multiball noch weit entfernt ist, Missionsziele abschließen.;Center Scoop (Mitte) – Fehlschüsse kommen häufig direkt zwischen die Flipper zurück.;Im Matchplay zuerst einen einfachen Modus starten und anschließend den ersten Multiball stacken. Viele Sammelziele kosten zu viel Zeit.
Revenge From Mars;Skillshot: Den blinkenden Saucer (Mitte oben) direkt nach dem Abschuss treffen.;1. Eine Invasion starten. 2. Marsianer über die Center Cannon (Mitte) abschießen. 3. Saucer treffen, bis Martian Multiball bereit ist. 4. Multiball starten. 5. Jackpots über Rampen und Marsianer sammeln.;🥇 Erste Invasion;Saucer (oben Mitte);Marsianer und Invasionsziele abschließen, bis der Multiball freigeschaltet wird.;Kein klassischer Ball-Lock.;Über den Saucer (oben Mitte), sobald Martian Multiball bereit ist.;Nein;Invasionen weiterspielen, wenn der Multiball noch nicht erreichbar ist.;Center Cannon / Saucer – Fehlschüsse können direkt zur Spielfeldmitte zurückspringen.;Im Matchplay möglichst früh Martian Multiball starten. Die Invasionen liefern Fortschritt, aber der erste Multiball bringt meist die zuverlässigsten Turnierpunkte.
